year,a,b,c
01,2096038,980029,3076067
02,2729928,383457,3113385
03,1497349,348019,1845368
04,2075441,1232222,3307663
05,2290648,1526518,3817166
06,2455387,4213074,6668461
07,4310163,5141372,9451535
08,6183274,3662711,9845985
09,4611922,2985162,7597084
10,4252053,2002346,6254399
11,3503840,2528457,6032297
12,1735390,6509826,8245216