year,a,b,c
01,11991567,8375206,20366773
02,18096302,3728435,21824737
03,8390158,4893043,13283201
04,4475650,6784327,11259977
05,4337853,9874115,14211968
06,8268359,9287375,17555734
07,8515299,10309142,18824441
08,21961332,7181331,29142663
09,12795168,6439119,19234287
10,9296245,4194446,13490691
11,7369028,6011094,13380122
12,11794820,8981616,20776436