year,a,b,c
01,14061620,8881836,22943456
02,6989199,8562561,15551760
03,7916144,4885367,12801511
04,4690560,9375683,14066243
05,5094177,10797538,15891715
06,6212328,8887516,15099844
07,5391934,14384735,19776669
08,22208501,8049774,30258275
09,11772617,5051329,16823946
10,7477689,6597668,14075357
11,8208351,8941597,17149948
12,10126167,11820378,21946545