year,a,b,c
01,11588401,5255294,16843695
02,4942629,2429741,7372370
03,307866,1526856,1834722
04,146076,826496,972572
05,220161,1306075,1526236
06,2786453,1078080,3864533
07,4691845,926856,5618701
08,7377554,1457187,8834741
09,1359285,1629395,2988680
10,3561425,1072211,4633636
11,2868649,726685,3595334
12,612027,826846,1438873