year,a,b,c
2004,37741433,31513193,69254626
2005,71346379,52005680,123352059
2006,91745620,52510415,144256035
2007,75791003,76231989,152022992
2008,62047324,85381315,147428639
2009,75644847,79753807,155398654
2010,68843175,78916039,147759214
2011,82868189,76856276,159724465
2012,114911591,79978996,194890587
2013,127291781,86059249,213351030
2014,107703922,107365036,215068958
2015,112941882,104357641,217299523
2016,116555889,100470293,217026182
2017,113907067,105969160,219876227
2018,110149287,106235982,216385269
2019,115621862,111056915,226678777
2020,40462371,19061722,59524093
2021,18219013,42309421,60528434